,City,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Date
408,Pleshanovo,79.61,52.83,53.48,75,95,11.88,1594911087
409,Alexandria,84.2,31.22,29.96,54,40,16.11,1594911087
410,Mossamedes,80.6,-15.2,12.15,47,0,12.75,1594911088
411,Mezen',61.03,65.85,44.24,58,100,7.54,1594911088
412,Moose Factory,73.4,51.26,-80.61,60,1,18.34,1594911088
413,Khovd,63.68,48.01,91.64,47,30,3.13,1594911088
414,Adrar,102.92,20.5,-10.07,17,34,17.11,1594911089
415,City of Saint Peters,75.0,38.8,-90.63,69,20,5.82,1594911033
416,Henties Bay,71.33,-22.12,14.28,27,0,7.29,1594911089
417,Kemijärvi,63.46,66.71,27.43,70,88,4.76,1594911090
418,Port Hardy,60.8,50.7,-127.42,93,75,3.36,1594911090
419,Province of Trapani,81.68,37.83,12.67,58,20,11.41,1594911090
420,Zhigansk,66.09,66.77,123.37,55,100,12.77,1594911091
421,Rudnogorsk,55.29,57.26,103.75,60,66,4.38,1594911091
422,Nador,80.6,35.17,-2.93,69,75,11.41,1594911091
423,Halifax,60.55,44.65,-63.57,72,90,12.75,1594910983
424,Sørland,58.33,67.67,12.69,77,99,3.36,1594911092
425,Karligan,82.98,14.97,122.05,82,68,10.18,1594911092
426,Pemba,77.0,-12.97,40.52,57,75,24.16,1594911092
427,Hay River,57.2,60.82,-115.8,87,40,8.05,1594911092
428,Shahe,67.19,39.27,113.55,78,100,2.73,1594911093
429,Iranshahr,104.0,27.2,60.68,21,40,20.8,1594911093
430,Charlestown,55.0,-32.95,151.67,74,87,3.0,1594911093
431,Tolaga Bay,50.9,-38.37,178.3,90,100,14.43,1594911093
432,San Cristobal,84.2,7.77,-72.22,48,40,9.17,1594911093
433,Kāvali,84.16,14.92,79.98,63,97,8.9,1594911094
434,Kenai,52.93,60.55,-151.26,76,1,5.82,1594911094
435,Celestún,85.05,20.87,-90.4,68,69,7.02,1594911094
436,Rumphi,64.4,-11.02,33.86,52,21,7.14,1594911094
437,Pangnirtung,60.8,66.15,-65.71,59,75,3.89,1594911094
438,Khandyga,59.74,62.67,135.6,58,59,2.17,1594911094
439,Aswān,105.89,24.09,32.91,9,0,14.18,1594910806
440,Ngunguru,59.0,-35.62,174.5,3,76,1.99,1594911095
441,Perevolotskiy,87.4,51.88,54.19,42,100,0.27,1594911095
442,São João da Barra,73.4,-21.64,-41.05,64,75,8.05,1594911095
443,Voh,61.16,-20.97,164.7,72,2,2.64,1594911095
444,Aranos,68.14,-24.13,19.12,22,0,16.02,1594911096
445,Kalmunai,83.28,7.42,81.82,76,100,3.85,1594911096
446,Fort Portal,65.43,0.66,30.27,90,100,3.56,1594911096
447,Belogorsk,68.68,50.92,128.46,94,100,9.73,1594911096
448,Sokoni,83.05,-6.43,39.55,54,20,12.75,1594911097
449,Rio Grande,47.23,-32.03,-52.1,100,90,4.7,1594911057
450,Zhengjiatun,76.96,43.51,123.51,63,0,13.78,1594911097
451,Faya,79.7,18.39,42.45,54,40,17.22,1594911097
452,Jérémie,85.53,18.65,-74.12,63,1,0.89,1594911098
453,Xincheng,72.72,33.63,115.18,90,50,3.71,1594911066
454,Sukumo,68.43,32.93,132.73,91,100,3.27,1594911098
455,Zyryanka,45.97,65.75,150.85,92,100,6.08,1594911098
456,Urusha,67.37,54.05,122.9,70,45,3.09,1594911098
457,Manzanillo,86.94,20.34,-77.12,62,72,10.27,1594911099
458,Pokaran,104.99,26.92,71.92,22,61,9.86,1594911099
459,Obo,78.08,5.4,26.49,88,66,2.04,1594911099
460,Broken Hill,48.2,-31.95,141.43,49,0,8.05,1594911099
461,Patacamaya,50.56,-17.23,-67.92,37,0,3.38,1594911099
462,Torbay,49.03,47.67,-52.73,100,90,19.46,1594911100
463,Kosiv,69.35,48.31,25.1,74,72,0.34,1594911100
464,Mackay,44.6,-21.15,149.2,93,0,2.24,1594910933
465,Corner Brook,60.84,48.97,-57.95,55,20,5.82,1594910932
466,Forsytheganj,72.52,52.63,29.73,49,3,1.32,1594911100
467,Kuching,80.31,1.55,110.33,88,20,1.12,1594911101
468,Weihai,70.41,37.5,122.11,86,0,8.99,1594911101
469,Maningrida,67.53,-12.07,134.27,73,0,10.76,1594911101
470,Muisne,75.88,0.6,-80.03,87,100,6.55,1594911101
471,Vikhorevka,53.29,56.12,101.16,76,40,4.47,1594911102
472,Tautira,73.2,-17.73,-149.15,83,57,4.7,1594911102
473,Bardejov,57.51,49.29,21.27,93,100,1.01,1594911102
474,Entebbe,71.6,0.06,32.45,83,75,9.17,1594911102
475,Viking,58.95,53.1,-111.77,83,77,2.77,1594911103
476,San Felipe,85.42,10.34,-68.74,61,5,2.24,1594911103
477,Moscow,61.56,55.75,37.62,87,90,11.18,1594911020
478,Wasilla,55.02,61.58,-149.44,87,20,3.36,1594911103
479,Trincomalee,83.53,8.57,81.23,72,100,14.52,1594911103
480,Agadez,104.45,19.75,10.25,13,0,6.13,1594911104
481,Aquiraz,86.0,-3.9,-38.39,51,20,17.22,1594911104
482,Karaton,80.28,-6.34,106.1,74,75,4.7,1594911104
483,Porto Torres,74.05,40.84,8.4,60,40,11.41,1594911104
484,Husavik,55.4,66.04,-17.34,82,75,10.29,1594911105
485,Vágur,52.29,61.47,-6.81,87,100,21.32,1594911105
486,El Alto,62.6,-4.27,-81.21,93,90,14.99,1594911105
487,Mount Isa,50.0,-20.73,139.5,39,0,2.24,1594911105
488,Rantepao,66.51,-2.97,119.9,90,96,1.36,1594911106
489,Kenora,68.0,49.82,-94.43,64,75,12.75,1594911035
490,Yenagoa,75.88,4.92,6.26,82,95,7.87,1594911106
491,Yulara,50.0,-25.24,130.99,39,0,6.93,1594911106
492,Fidenza,84.18,44.86,10.07,37,20,3.36,1594911107
493,Fountain Hills,91.89,33.61,-111.72,29,1,3.98,1594911031
494,Nagato,73.4,34.38,131.2,83,40,9.17,1594911107
495,Kisangani,84.49,0.52,25.2,61,100,2.28,1594911107
496,Methóni,88.95,36.82,21.7,38,40,16.11,1594911107
497,Flinders,55.0,-34.58,150.86,74,58,11.99,1594911108
498,Horsham,70.88,51.06,-0.33,56,40,9.17,1594911108
499,Maxixe,69.37,-23.86,35.35,60,40,11.41,1594911108
500,Arrondissement de Clermont,68.0,49.5,2.42,68,90,12.75,1594911109
501,Tokmak,80.96,47.25,35.71,31,100,4.99,1594911109
502,Biak,75.6,-0.91,122.88,83,15,4.05,1594911109
503,Finschhafen,79.05,-6.6,147.87,76,62,7.29,1594911109
504,Zaymishche,67.53,52.73,32.23,69,100,7.09,1594911109
505,Champerico,78.8,14.3,-91.92,78,90,3.87,1594911110
506,Podporozh'ye,53.55,60.91,34.17,96,100,7.61,1594911110
507,Muros,84.29,42.78,-9.06,32,25,12.75,1594911110
508,Bonfim,87.15,3.08,-59.95,58,67,5.39,1594911110
509,West Bay,86.97,19.37,-81.42,70,20,14.99,1594911111
510,Punto Fijo,84.79,11.7,-70.2,66,8,20.87,1594911111
511,Westport,72.66,41.14,-73.36,68,1,10.29,1594911111
512,Ambulu,74.34,-8.35,113.61,88,7,3.15,1594911111
513,Pudozh,55.15,61.81,36.53,85,100,8.63,1594911111
514,Kamaishi,62.58,39.27,141.88,87,87,2.89,1594911112
515,Kudahuvadhoo,85.08,2.67,72.89,67,100,3.74,1594911112
516,Beloha,63.37,-25.17,45.05,65,39,10.58,1594911112
517,Bahir Dar,64.67,11.59,37.39,86,98,6.11,1594911112
518,Nkhotakota,70.21,-12.93,34.3,50,1,19.33,1594911112
519,Abu Kamal,107.49,34.45,40.92,7,0,13.6,1594911113
520,Talaya,55.18,61.38,152.75,78,100,4.5,1594911113
521,Boende,85.68,-0.22,20.87,57,99,3.69,1594911113
522,Mumford,77.23,5.26,-0.76,79,74,14.32,1594911113
523,Batemans Bay,36.43,-35.72,150.18,94,46,11.32,1594911019
524,Salekhard,60.26,66.53,66.6,56,93,4.34,1594911114
525,Crişan,79.77,44.97,29.47,39,85,12.75,1594911114
526,Los Llanos de Aridane,73.87,28.66,-17.92,64,40,12.75,1594911114
527,Curuçá,87.49,-0.73,-47.85,63,0,6.87,1594911114
528,Waverly,68.0,42.74,-84.62,94,90,8.05,1594911099
529,Touros,78.8,-5.2,-35.46,78,75,11.41,1594911115
530,Bowen,50.56,-20.02,148.23,93,0,5.57,1594911115
531,Viedma,48.0,-40.81,-63.0,74,14,1.99,1594911116
532,Kamina,81.46,-8.74,24.99,22,0,8.77,1594911116
533,Marawi,78.01,8.0,124.29,85,100,5.99,1594911116
534,San Policarpo,83.68,12.18,125.51,78,0,8.37,1594911116
535,Camaná,66.18,-16.62,-72.71,66,66,7.02,1594911117
536,Fayaoué,70.88,-20.65,166.53,61,9,7.38,1594911117
537,São Félix do Xingu,93.96,-6.64,-51.99,32,0,4.07,1594911117
538,Havøysund,57.13,71.0,24.66,87,100,2.24,1594911118
